1.129756,0.572041,-0.195091,1.254961,1.200190,-0.808555,2.135799,2.352019,-0.572890,3.374385,3.438639,-0.007520,-4.677624,1.933328,-13.191260,-4.677624,1.933328,-13.191260,2.721544,3.065163,0.278888,2.222403,2.800247,0.527279,-4.677624,1.933328,-13.191260
1.129756,0.572041,-0.195091,1.254961,1.200190,-0.808555,2.135799,2.352019,-0.572890,3.374385,3.438639,-0.007520,-4.677624,1.933328,-13.191260,-4.677624,1.933328,-13.191260,2.721544,3.065163,0.278888,2.222403,2.800247,0.527279,-4.677624,1.933328,-13.191260
1.129756,0.572041,-0.195091,1.254961,1.200190,-0.808555,2.135799,2.352019,-0.572890,3.374385,3.438639,-0.007520,-4.677624,1.933328,-13.191260,-4.677624,1.933328,-13.191260,2.721544,3.065163,0.278888,2.222403,2.800247,0.527279,-4.677624,1.933328,-13.191260
1.129756,0.572041,-0.195091,1.254961,1.200190,-0.808555,2.135799,2.352019,-0.572890,3.374385,3.438639,-0.007520,-4.677624,1.933328,-13.191260,-4.677624,1.933328,-13.191260,2.721544,3.065163,0.278888,2.222403,2.800247,0.527279,-4.677624,1.933328,-13.191260
1.448754,0.219432,-0.892851,1.674396,0.904374,-1.342090,2.125005,2.077587,-0.844896,3.176164,3.360308,0.066626,1.470973,1.216942,0.380097,-4.677624,1.933328,-13.191260,2.648989,3.066830,0.301157,-4.677624,1.933328,-13.191260,-4.677624,1.933328,-13.191260
1.514421,0.133151,-1.024934,1.694398,0.857008,-1.356152,2.125005,2.077587,-0.844896,3.196777,3.383271,0.093702,1.503006,1.239678,0.373628,-4.677624,1.933328,-13.191260,2.650405,3.060510,0.302293,-4.677624,1.933328,-13.191260,-4.677624,1.933328,-13.191260
1.703671,-0.132813,-0.574440,1.889625,0.497868,-1.085020,2.267671,1.981100,-0.709084,3.275411,3.318325,0.116789,1.994797,0.589237,0.194389,-4.677624,1.933328,-13.191260,2.675066,3.098240,0.239246,-4.677624,1.933328,-13.191260,-4.677624,1.933328,-13.191260
1.754343,-0.528466,-0.222031,1.899370,0.055961,-0.756797,2.187755,1.742607,-0.652548,3.090610,3.452689,0.046388,2.118676,0.268954,0.154265,-4.677624,1.933328,-13.191260,2.678392,3.094226,0.177122,-4.677624,1.933328,-13.191260,5.911750,0.716435,0.558191
1.593235,-0.857185,0.076930,1.818767,-0.401861,-0.575150,2.285206,1.315875,-0.689882,2.916466,3.476948,-0.011281,2.166548,-0.097619,0.305092,-4.677624,1.933328,-13.191260,2.638091,2.932489,0.257548,1.812346,2.568371,0.446151,-4.677624,1.933328,-13.191260
1.536643,-1.169135,0.231265,1.641476,-0.489024,-0.516818,2.103691,1.010894,-0.668048,2.481786,3.134603,-0.254950,2.239713,-0.364449,0.277666,-4.677624,1.933328,-13.191260,2.810809,2.345719,0.243488,-4.677624,1.933328,-13.191260,-4.677624,1.933328,-13.191260
